,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1743150,7.222824124275478e-05,7.22283080357733e-05,0.7757581291371709,7.222824124275628e-05,7.222836560498804e-05,0.015875760357325363,7.222842413855917e-05,7.222825041720391e-05,0.20749937090626472,7.222838867613842e-05,7.222824124275628e-05,7.22282412427545e-05,7.222841490988974e-05,7.222824124275597e-05,7.222824124275628e-05
1744450,7.448789571730269e-05,0.06744139149820282,0.270790713259836,7.448789571730392e-05,7.448809688006478e-05,0.4752549861291648,7.448811490859415e-05,7.448813544997229e-05,7.448807754838126e-05,7.448809967611145e-05,7.448789571730392e-05,7.448789571730246e-05,0.18569354121402917,7.448789571730368e-05,7.448789571730392e-05
1744452,0.00011318619128558959,0.00011318623031924498,0.5012450131842883,0.00011318619128559282,0.003891595007258762,0.17594670544997004,0.00011318646621768162,0.0001131861912854659,0.00011318650355699558,0.00011318645880993928,0.00011318619128559282,0.00011318619128558898,0.3176716373605799,0.00011318619128559217,0.00011318619128559282
1745951,5.027652086535768e-05,5.0276533204786494e-05,0.7121339130187291,5.027652086535977e-05,5.027659671051335e-05,0.0722203151074918,5.0276653956833934e-05,5.0276520865277366e-05,0.21504245315488685,5.027664786422053e-05,5.027652086535977e-05,5.027652086535729e-05,5.0276641098394665e-05,5.0276520865359346e-05,5.027652086535977e-05
1747550,5.359056806060306e-05,5.359057542537517e-05,0.04838321811450768,5.359056806060508e-05,5.359064002145051e-05,0.620349179995376,0.03817272651718953,0.005712887410923993,0.24685144688441554,5.3590704046698925e-05,5.359056806060508e-05,5.359056806060268e-05,0.04004822574972969,5.3590568060604666e-05,5.359056806060508e-05
1749252,1.2813120635830283e-05,1.2813129739615113e-05,0.02328925465715606,1.2813120635831324e-05,1.2813164667207835e-05,0.9227763496007305,1.2813155458460731e-05,1.2813122526473697e-05,0.04833467082065352,1.281315534360511e-05,1.2813120635831324e-05,1.2813120635830089e-05,0.005458780469909896,1.281312063583111e-05,1.2813120635831324e-05
1749550,5.270092305632036e-05,5.270094594243427e-05,0.5262299289762193,5.270092226677687e-05,5.270100751125533e-05,0.026437313728528686,0.013127950409476008,5.270093717971945e-05,5.270107737193345e-05,0.03370549005374177,5.270092226677687e-05,5.270092226677425e-05,0.3999723073296385,5.270092226677641e-05,5.270092226677687e-05
1749750,7.541478129791281e-05,7.54148599457223e-05,0.36129528587204135,7.541478129791553e-05,7.541490502910786e-05,0.2554114530046437,0.1565250778207343,7.541479438924524e-05,0.1436283999915017,7.541500115932799e-05,7.541478129791553e-05,7.54147812979123e-05,0.08238563506276804,7.541478129791496e-05,7.541478129791553e-05
1749751,4.070004070037796e-05,4.070009329770551e-05,0.5312930152664458,4.070004070037912e-05,4.0700086806217427e-05,0.3629724774744354,0.10524610612791634,4.070024437952617e-05,4.070015015954614e-05,4.0700156533935465e-05,4.070004070037912e-05,4.070004070037773e-05,4.0700155823389965e-05,4.070004070037888e-05,4.070004070037912e-05
1749752,4.317789291929147e-05,4.3177916509966997e-05,0.7281100885454342,4.317789291929309e-05,4.3178080912734316e-05,0.15791182799352704,0.09927595349285867,4.3177901972948564e-05,0.00556901711733439,0.008701333575728975,4.317789291929309e-05,4.317789291929118e-05,4.3178018205056886e-05,4.3177892919292756e-05,4.317789291929309e-05
