,0,1,2,3,4,5,6,7,8,9
S24_2013_11742593,0.0001845487430671234,0.0001845516794968605,0.00018453992441878374,0.48273313945813306,0.00018454158487445695,0.00018455130589532594,0.37489434378937836,0.14108068390500755,0.00018455457135565232,0.00018454503837260524
S24_2013_11161117,0.00016186065211008208,0.00016187239765207533,0.0001618638551508074,0.22858612056802807,0.40366730118474575,0.14968682151725657,0.00016184930238008905,0.00016186362508244454,0.05938684167114499,0.15786360522644927
S24_2013_11180865,0.00021146320606733367,0.8354092675168484,0.00021146888780551658,0.0002114641048845713,0.16289897213750748,0.00021146891234638857,0.00021147340381073276,0.00021146976583370474,0.00021148346865359447,0.00021146859624231485
S24_2013_11832809,0.00037322844336270595,0.00037320335758607946,0.06691473699902502,0.18117249813853856,0.6376948362840562,0.0003732334089780358,0.0003731942068828234,0.0003731935246898908,0.00037324233882433526,0.11197863329805641
S24_2013_11860237,0.0002321033971860853,0.00023210292633804203,0.06020295413903614,0.3129140476222431,0.062138628489961885,0.0002320729518802814,0.0002320791541297278,0.2936388298119834,0.061434945902462706,0.20874223560477856
S24_2013_11802041,0.0003876889552574614,0.00038773262477340755,0.00038768836293452317,0.1453280042482832,0.49341259176285496,0.00038773291276050786,0.0003876809261238759,0.00038774978669416977,0.3585454544939116,0.00038767592640625637
S24_2013_1290513,0.00040167855904595914,0.0004017012148847791,0.0004017342592587692,0.27885829486913905,0.15897144020451975,0.048003587269457214,0.00040167182652008993,0.09667994014236314,0.09358152420636978,0.3222984274484413
S24_2013_11478992,0.00017578435197139477,0.0001757832973861503,0.00017578713299005362,0.00017579317901507115,0.4081398484863118,0.40040082171102925,0.00017577091129235826,0.07184360625747098,0.11856101711653766,0.0001757875559952125
S24_2013_11957122,0.0004184984981824465,0.0004184826395316464,0.000418482525191366,0.15926828242774,0.8113983810909697,0.00041853284170531894,0.0004185526897466371,0.0004185119310610129,0.026403753132749744,0.000418522223122077
S24_2013_11680305,0.035417317665430326,0.00040166981017340466,0.25230612104487804,0.4019452216234404,0.0004017246448492197,0.00040170905481859176,0.000401688202183765,0.00040170140686770757,0.1299021660243799,0.17842068052297871
S24_2013_11460698,0.0004311221032521567,0.00043115855028333887,0.00043113151641091416,0.028865432188692166,0.9676855307754398,0.00043112316656315747,0.00043108788173031124,0.00043112618470018423,0.0004311582835958037,0.00043112934933215867
S24_2013_11619166,0.0003125493620100569,0.00031256894372509036,0.00031255712823273924,0.6564245270173593,0.05621946904441361,0.0003125619766193694,0.000312540829596075,0.00031255562692558453,0.01873559642867987,0.26674507364243816
S24_2013_11828498,0.0002558689889631118,0.05400775581183193,0.0002558428873592035,0.0002558027579049347,0.8374821893407286,0.0002558285061683476,0.10671924292056165,0.0002558098028621725,0.00025582389524687904,0.000255835088373136
S24_2013_11646732,0.2995584840096222,0.0003677341956246672,0.1511849382588807,0.05896716473086915,0.0003677468405666798,0.0003677469808097088,0.0003677215853000576,0.19786514979873632,0.0003677666093208445,0.2905855469902695
S24_2013_11912726,0.0002481900473626871,0.1928220536816122,0.04581654398532699,0.00024817260623533603,0.0002482004633380209,0.5837245096780357,0.0002482070214919929,0.0002481970000648623,0.17614773821391846,0.00024818730261366793
S24_2013_11666987,0.28065399011682074,0.00031752563945615055,0.5573782571296423,0.15974498486157196,0.0003175423136258808,0.0003175500637149067,0.00031751693650216005,0.00031755172053183473,0.00031752344901113177,0.0003175577691228435
S24_2013_11590697,0.00035595551276871744,0.9765689758521541,0.00035594801878993025,0.0003559459989399291,0.0003559519651717616,0.020583457496876265,0.0003559268846318077,0.00035595215189106243,0.00035595710805769794,0.00035592901071888124
S24_2013_11183838,0.21853317236926073,0.00021281767440945725,0.779764250699542,0.00021283372902374472,0.00021283486460612852,0.00021282047458590566,0.00021279919969717617,0.0002128267499853426,0.00021282193380690837,0.00021282230508254174
S24_2013_11213182,0.000295940252702156,0.01722777296522511,0.00029594580402305054,0.000295948319814705,0.11396437809196852,0.00029592191726086453,0.00029590768994283435,0.0002959502024086456,0.00029593282058533243,0.8667363019360689
S24_2013_11842651,0.00037603452407476213,0.0003760186317778256,0.00037601701107649744,0.00037603622943273263,0.9966157529623826,0.000376010902437992,0.00037600500769309497,0.0003760523325660348,0.000376043050763621,0.0003760293477951086
S24_2013_8789495,0.0004465548442482302,0.44232652745451173,0.00044656578103416346,0.17296964889270627,0.19619452067068316,0.0004466087074956183,0.11874401914694013,0.0004465456292443733,0.0004465544032173642,0.0675324544699188
S24_2013_11488901,0.00020495875036517281,0.0002049531118958493,0.00020495393292667343,0.00020496535450060057,0.00020496756228860534,0.12853797821541402,0.00020494378303668114,0.32157039499111334,0.00020496011525042117,0.5484569241832087
S24_2013_11528434,0.00022229043694271282,0.00022227387092822273,0.6162166962407664,0.12652204114113225,0.04586638569316796,0.1982546449030226,0.00022224866852988025,0.0002222662776982597,0.00022228594459152969,0.012028866823220085
S24_2013_11778856,0.1993402592661271,0.01611290900210426,0.00032580598065602744,0.00032582262207642794,0.4182625952626184,0.36432938111502766,0.0003257773437773583,0.00032579494769586516,0.0003258293959609097,0.00032582506395590916
S24_2013_11887877,0.7656193957708833,0.00038920253255521765,0.00038922780944850694,0.00038919825626414467,0.040414267940580235,0.0003891928150985848,0.0003892105042947091,0.0003891801454435674,0.1755007350908067,0.016130389134624903
S24_2013_11902465,0.0003704511335867043,0.0003705036555745661,0.00037051615396870084,0.01755608665817769,0.0003704447802481404,0.31599639186022593,0.5631822708375711,0.01736406734130394,0.08404880044582543,0.0003704671335177426
S24_2013_11882591,0.00045883934061167765,0.00045883745996947107,0.0004587981531699947,0.00045881882114841483,0.9502992919245252,0.0004587932264966839,0.00045878322795267186,0.00045881373083599353,0.04603020416712124,0.00045881994816851333
S24_2013_11929305,0.00023817180991550927,0.00023814705765377612,0.00023815449372277005,0.00023814885472653042,0.5855933087806108,0.41250145172200037,0.0002381294487240631,0.00023814975562562373,0.00023815094306983012,0.00023818713395077707
S24_2013_11226423,0.00018835792652997438,0.00018836632004371612,0.00018838982841208601,0.23483759781380267,0.007828383520336992,0.00018838216897317908,0.6480552167722603,0.09928673144272189,0.00018836211774489353,0.00905021208917413
S24_2013_11563099,0.00027181652701687033,0.0002718197981224833,0.0002717993045108128,0.08735688296973339,0.380132408822137,0.05347816994000294,0.00027182615433750314,0.00027182243046541485,0.47740164771905236,0.0002718063346212664
