,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
S24_2013_11860237,0.00012889922014888334,0.00012889922176773024,0.00012889920876109551,0.00012889922922111385,0.00012889921474194336,0.30858650676367055,0.00012889921692805554,0.00012889921716413,0.00012889922096332172,0.00012889922059584508,0.006520598436388935,0.052093432576269035,0.2977483753923474,0.00012889922021813125,0.00012889920653529833,0.00012889921703504583,0.25945321051760684,0.07405108569963662
S24_2013_11802041,0.09012356981826534,0.0002153316348028621,0.000215331621192743,0.00021533167218815226,0.0002153316380571937,0.043103133206390566,0.00021533163454077586,0.1962620415043637,0.0002153316326255213,0.0002153316520481297,0.00021533163902242084,0.00021533163545897697,0.00021533163870631242,0.00021533162694108214,0.00021533161840620288,0.00021533163712226337,0.667496612555856,0.0002153316340116095
S24_2013_1290513,0.00022311472007058257,0.0002231147136168198,0.0002231146976370228,0.00022311471594798515,0.00022311470947501024,0.00022311471943049145,0.0002231147115504569,0.00022311471869202837,0.00022311471749977135,0.0002231147078317933,0.10702096896014783,0.07430334109166968,0.7700931408336172,0.04545894315910437,0.0002231146932482573,0.00022311470045126134,0.00022311471785606607,0.00022311471215333381
S24_2013_11478992,9.763719365805875e-05,9.763719448657321e-05,9.763718481899088e-05,0.11113061966747441,9.763719228352695e-05,9.763719014396566e-05,9.763719253554305e-05,9.763719187844026e-05,9.763719439242929e-05,9.763719179062609e-05,0.2518034931201604,9.763719685154097e-05,0.14066492241841327,9.763719326408067e-05,9.763718707502444e-05,9.763719177181822e-05,0.49503404410774554,9.763719125574184e-05
S24_2013_11957122,0.17709783483689814,0.027848181161680387,0.00023245003054846153,0.00023245004883162536,0.01566015825583226,0.0002324500483800771,0.00023245005103556421,0.00023245005547837763,0.00023245004690953622,0.000232450045881012,0.0002324500442714102,0.17455565872498904,0.00023245005154882485,0.0002324500473627417,0.017652997945406347,0.00023245005153722315,0.5843957685053093,0.00023245004809972948
S24_2013_11680305,0.00022311471766431375,0.0002231147055615469,0.0002231147045157791,0.00022311470851295954,0.0002231147058394877,0.0002231147085703452,0.00022311470222006666,0.00022311471953403888,0.00022311471392795886,0.0002231147034372726,0.00022311470639682673,0.00022311472647625186,0.4339500156210327,0.00022311471925290602,0.0002231147034605991,0.5624801489952441,0.00022311472524553572,0.0002231147131073436
S24_2013_11460698,0.014037727507863623,0.41175629758021715,0.0002394636152055635,0.00023946362708509458,0.0002394636243432082,0.00023946362993079615,0.00023946362888179336,0.0002394636329769337,0.00023946362912836855,0.00023946363926512028,0.00023946363227323088,0.0002394636284481125,0.0002394636301324115,0.00023946361790956394,0.00023946361730045162,0.00023946362590641788,0.5706140205034622,0.00023946362966997266
S24_2013_11619166,0.1047277006211087,0.012508381584549142,0.0001736111206960095,0.00017361114232538634,0.006174426214895035,0.00017361112624718111,0.00017361112747560145,0.0001736111285654229,0.0001736111446901062,0.00017361113153784938,0.0001736111421175746,0.0001736111388319356,0.44197055633571497,0.148983749754421,0.00017361111866220013,0.0001736111247770087,0.28355185191696725,0.0001736111264177181
S24_2013_11828498,0.0507158318249894,0.5363534852324173,0.00794836030241594,0.0001420858348123727,0.0001420858454233354,0.00014208583652571043,0.0001420858551735654,0.08564607719104382,0.00014208583577053047,0.00014208583940462897,0.025895218943762868,0.0001420858389205444,0.00014208584342820913,0.0001420858292446884,0.0001420858249677635,0.00014208586422977053,0.2917359964151138,0.00014208584235576727
S24_2013_11646732,0.0002042484007170616,0.00020424838924566695,0.00020424837737959028,0.00020424839224571264,0.00020424839668390616,0.00020424839594458097,0.00020424839864306978,0.00020424839831358283,0.00020424838542477,0.00020424839966656365,0.00020424841604018784,0.0002042484002957704,0.4095567602516385,0.22504343097568566,0.0002042483816481253,0.1988394795264566,0.00020424840600636015,0.16370085170796425
S24_2013_11912726,0.00013785499411198284,0.00013785499737024474,0.00013785498852048592,0.2155417134228798,0.00013785499248329715,0.0001378549959432023,0.00013785499751674268,0.7822526066977018,0.0001378549886668159,0.00013785500013450855,0.00013785499001478743,0.00013785499056273692,0.00013785499214340554,0.00013785498619701454,0.00013785498253064509,0.0001378549900555891,0.00013785499871752895,0.00013785499444939517
S24_2013_11666987,0.0001763668734885341,0.00017636686222338992,0.00017636685737262348,0.04150382538344316,0.0001763668645339894,0.00017636686744061466,0.00017636686221748118,0.0001763668637871215,0.00017636686473639096,0.0001763668668487453,0.0001763668602938113,0.0604368533157109,0.108219940383586,0.00017636685834438473,0.00017636685008420272,0.0001763668771488252,0.00017636686804196972,0.7873702448206978
S24_2013_11590697,0.00019770662082082053,0.0001977066293791917,0.00019770662110048576,0.0001977066371043478,0.00019770662351191877,0.0001977066315147193,0.00019770661815883152,0.0001977066237395175,0.00019770662980742834,0.9795225265245235,0.017314167455536707,0.00019770662707829795,0.0001977066265960841,0.00019770662797708534,0.00019770661695966434,0.00019770662775614304,0.00019770663170169038,0.00019770662673358467
