,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
S24_2013_11594670,0.00014492753623284983,0.014373868862559869,0.0001449275362327179,0.00014492753623266682,0.00014492753623262725,0.0001449275362327468,0.00014492753623263608,0.4874638170104537,0.00014492753623261868,0.00014492753623271472,0.0001449275362327382,0.0001449275362325862,0.0001449275362326512,0.14190863187348737,0.14387119380600544,0.00014492753623259453,0.00014492753623263316,0.00014492753623265178,0.0001449275362326842,0.0001449275362325978,0.0001449275362327817,0.0001449275362325852,0.00014492753623271396,0.0001449275362326361,0.00014492753623279096,0.00014492753623256656,0.2087593000416768,0.00014492753623260703,0.00014492753623268048,0.00014492753623266633
S24_2013_11742593,6.15006150064389e-05,6.150061500643904e-05,6.150061500642177e-05,6.150061500645363e-05,6.150061500643429e-05,6.150061500644499e-05,6.150061500643272e-05,0.0075778206655842395,6.150061500644157e-05,6.150061500643383e-05,6.150061500645291e-05,6.150061500641079e-05,6.150061500644088e-05,6.150061500645238e-05,6.150061500644554e-05,6.150061500645674e-05,0.44129462238893435,6.150061500642033e-05,0.2378665153470505,6.150061500645282e-05,0.009635272847012566,0.30208825337625683,6.150061500642594e-05,6.150061500643303e-05,6.150061500644057e-05,6.150061500643085e-05,6.150061500642184e-05,6.150061500641949e-05,6.150061500642489e-05,6.15006150064461e-05
S24_2013_11161117,0.024438992120407788,5.393743257865155e-05,5.393743257864714e-05,0.04314412116042812,5.3937432578660354e-05,5.393743257866663e-05,0.15471428324973338,5.3937432578650115e-05,5.393743257865365e-05,0.039506979687931994,5.393743257867066e-05,0.10580311229105245,5.3937432578667225e-05,0.33088104424192616,5.393743257865355e-05,0.043989125125989875,5.39374325786488e-05,5.3937432578663755e-05,5.393743257864777e-05,5.3937432578632835e-05,5.39374325786441e-05,5.393743257860798e-05,5.3937432578627536e-05,0.06332046323672892,5.393743257862644e-05,5.393743257862814e-05,5.3937432578634306e-05,0.19306919280164958,5.393743257866905e-05,5.3937432578636684e-05
S24_2013_11180865,7.047216349590744e-05,7.047216349586024e-05,7.04721634958758e-05,7.047216349589408e-05,7.047216349588515e-05,0.021376639002889077,7.047216349588483e-05,7.047216349594074e-05,7.047216349588496e-05,0.09179659482814753,7.047216349586931e-05,7.04721634958609e-05,0.12233323465691236,0.13118696793242082,0.6315447594922334,7.047216349591636e-05,7.047216349588712e-05,7.047216349588224e-05,7.047216349586596e-05,7.047216349586585e-05,7.047216349584533e-05,7.047216349588623e-05,7.047216349590288e-05,7.047216349588903e-05,7.047216349586443e-05,7.047216349584185e-05,7.047216349588255e-05,7.047216349587535e-05,7.047216349593128e-05,7.047216349587725e-05
S24_2013_11832809,0.00012437810945338908,0.028685993375443055,0.00012437810945341933,0.050108544316273006,0.00012437810945341142,0.0001243781094534117,0.00012437810945348446,0.00012437810945339773,0.00012437810945337865,0.00012437810945341104,0.00012437810945343315,0.000124378109453405,0.0001243781094534595,0.19858399415881228,0.00012437810945337813,0.00012437810945344527,0.00012437810945351848,0.17093287072993912,0.00012437810945348511,0.00012437810945342093,0.00012437810945346178,0.00012437810945333354,0.00012437810945342454,0.0421296126526216,0.00012437810945338965,0.00012437810945335222,0.00012437810945344101,0.00012437810945346457,0.506573910140029,0.00012437810945344936
S24_2013_11860237,7.733952049535424e-05,0.0452644130927728,0.03084853886691072,7.733952049535939e-05,7.73395204953462e-05,7.733952049532752e-05,0.11489556016940837,7.733952049533996e-05,7.733952049533904e-05,7.733952049549597e-05,7.733952049534928e-05,7.733952049534759e-05,7.733952049533651e-05,0.1497863950455953,7.733952049538549e-05,7.733952049533889e-05,7.733952049540249e-05,7.733952049535108e-05,7.733952049538331e-05,7.73395204953296e-05,7.733952049541101e-05,7.733952049530568e-05,7.733952049535659e-05,7.733952049534378e-05,7.733952049532906e-05,7.733952049530377e-05,7.73395204953725e-05,0.6572716048129288,7.733952049541824e-05,7.73395204953367e-05
S24_2013_11802041,0.00012919896640943522,0.04669146361403827,0.00012919896640920287,0.00012919896640933523,0.00012919896640934338,0.00012919896640924537,0.0001291989664092384,0.00012919896640921407,0.17653855615138855,0.06869475576573594,0.00012919896640922477,0.00012919896640925047,0.00012919896640921,0.5496170033994434,0.00012919896640935485,0.00012919896640924627,0.00012919896640918013,0.15522824690916187,0.00012919896640922415,0.00012919896640930826,0.00012919896640925616,0.0001291989664091777,0.00012919896640929142,0.00012919896640922277,0.0001291989664092557,0.00012919896640917788,0.00012919896640930018,0.0001291989664092985,0.00012919896640929695,0.000129198966409333
S24_2013_1290513,0.0001338688085689404,0.0505363228502088,0.0001338688085688941,0.1851129579670894,0.017199669248467105,0.00013386880856895074,0.21333703880035673,0.00013386880856891884,0.00013386880856885018,0.00013386880856890634,0.0001338688085688731,0.00013386880856884083,0.00013386880856900877,0.09703970065845659,0.00013386880856887262,0.10746144099410114,0.05045206655044465,0.02910729830353785,0.0001338688085688506,0.013473506181991413,0.00013386880856891174,0.00013386880856881595,0.06301253218591255,0.00013386880856896584,0.17072395889662464,0.00013386880856886167,0.00013386880856889902,0.00013386880856908215,0.00013386880856892922,0.00013386880856887284
S24_2013_11478992,5.858230814321448e-05,5.8582308143248306e-05,5.858230814322398e-05,5.858230814321564e-05,5.858230814320768e-05,5.8582308143223403e-05,5.8582308143260876e-05,5.858230814326932e-05,5.8582308143243746e-05,5.858230814323156e-05,5.858230814323928e-05,5.858230814321349e-05,5.858230814322447e-05,0.687568400029507,5.8582308143216925e-05,0.023560424091334856,5.858230814320548e-05,5.858230814322938e-05,5.858230814323432e-05,0.2872894535592906,5.858230814324643e-05,5.858230814318589e-05,5.8582308143212304e-05,5.858230814321753e-05,5.858230814324285e-05,5.858230814321305e-05,5.858230814320347e-05,5.858230814323421e-05,5.858230814321303e-05,5.8582308143221425e-05
S24_2013_11957122,0.00013947001394772304,0.1228531472444191,0.0001394700139477652,0.0919434263714733,0.00013947001394770708,0.00013947001394778907,0.00013947001394774004,0.006588001527137363,0.00013947001394780747,0.000139470013947747,0.00013947001394770187,0.00013947001394776858,0.00013947001394771927,0.4532753184663156,0.00013947001394769184,0.00013947001394767647,0.00013947001394779186,0.00013947001394774448,0.00013947001394772296,0.0001394700139477017,0.00013947001394767932,0.00013947001394763338,0.00013947001394769477,0.04572474714950401,0.0001394700139476878,0.009186748092415585,0.0001394700139477462,0.00013947001394770884,0.26722080082793737,0.0001394700139476743
S24_2013_11680305,0.00013386880856837034,0.0001338688085683908,0.00013386880856835793,0.13806103931344976,0.00013386880856833567,0.00013386880856834033,0.14519864264121707,0.00013386880856838,0.022850405871225932,0.00013386880856832136,0.00013386880856838896,0.00013386880856836752,0.00013386880856831542,0.09236184620163163,0.00013386880856829897,0.0001338688085683365,0.0001338688085682995,0.00013386880856842905,0.10082245963349355,0.00013386880856831523,0.07015151669673696,0.00013386880856827946,0.00013386880856831702,0.00013386880856835446,0.11101912497833405,0.0001338688085682915,0.0001338688085683445,0.3165898508754075,0.00013386880856841333,0.0001338688085683887
S24_2013_11460698,0.00014367816092070593,0.0001436781609207035,0.00014367816092079186,0.00014367816092077644,0.00014367816092071762,0.00014367816092080788,0.00014367816092071713,0.00014367816092070065,0.0001436781609207711,0.00014367816092074955,0.0001436781609207494,0.00014367816092067625,0.00014367816092072588,0.898093833990577,0.06023794396889709,0.0377889116956662,0.00014367816092070528,0.00014367816092074746,0.00014367816092070417,0.00014367816092071754,0.00014367816092077733,0.0001436781609206514,0.00014367816092072288,0.00014367816092070976,0.00014367816092068466,0.0001436781609208491,0.00014367816092069176,0.0001436781609207329,0.00014367816092090182,0.00014367816092074445
S24_2013_11619166,0.00010416666666761835,0.2871783913159382,0.00010416666666750812,0.00010416666666750707,0.00010416666666750324,0.00010416666666751146,0.32231500071206043,0.00010416666666755524,0.00010416666666749626,0.00010416666666757097,0.0001041666666675285,0.00010416666666753006,0.00010416666666751697,0.2315490125291319,0.00010416666666759277,0.00010416666666766121,0.00010416666666763092,0.0001041666666675469,0.00010416666666770168,0.00010416666666764828,0.016539466051634293,0.0001041666666674689,0.0001041666666675035,0.00010416666666760039,0.00010416666666757296,0.0001041666666674881,0.00010416666666752941,0.0001041666666675791,0.13981396272454646,0.00010416666666750567
S24_2013_11828498,8.525149190181706e-05,8.525149190177168e-05,8.525149190188512e-05,0.02222342090433485,8.52514919018276e-05,8.525149190184716e-05,8.525149190182976e-05,0.039378398823059296,8.525149190186497e-05,0.1704366861917365,8.525149190190899e-05,8.525149190182761e-05,8.525149190181435e-05,0.1567916929522402,8.525149190182652e-05,0.01552365552003022,8.525149190185436e-05,0.019368989524945642,8.525149190195394e-05,8.525149190178149e-05,8.525149190174277e-05,8.525149190191872e-05,8.525149190180127e-05,8.525149190181586e-05,8.525149190182232e-05,8.525149190176264e-05,8.525149190184062e-05,8.525149190189774e-05,0.5587985807940347,0.015603042467778057
S24_2013_11646732,0.0001225490196084974,0.0001225490196085116,0.000122549019608527,0.00012254901960850062,0.00012254901960848477,0.00012254901960849206,0.22278693600779523,0.00012254901960853478,0.0001225490196085096,0.00012254901960863664,0.2414026161919988,0.00012254901960851507,0.00012254901960848875,0.0001225490196085486,0.00012254901960852938,0.00012254901960846872,0.0001225490196084882,0.000122549019608513,0.23420045788994673,0.00012254901960846409,0.00012254901960843094,0.00012254901960842432,0.00012254901960852987,0.19648852017833138,0.00012254901960848019,0.00012254901960846772,0.0001225490196085284,0.08429524831366772,0.00012254901960849658,0.017885044947656015
S24_2013_11912726,8.271298593909173e-05,8.271298593907007e-05,8.271298593910144e-05,8.271298593907897e-05,8.271298593905627e-05,0.7920066872147286,8.271298593907819e-05,8.271298593912119e-05,8.271298593910982e-05,0.20567734917897712,8.271298593908208e-05,8.271298593906287e-05,8.271298593907997e-05,8.27129859391329e-05,8.271298593915581e-05,8.271298593907225e-05,8.271298593906966e-05,8.271298593910413e-05,8.271298593907443e-05,8.271298593904901e-05,8.271298593904435e-05,8.271298593906978e-05,8.271298593911972e-05,8.271298593908624e-05,8.27129859390788e-05,8.27129859390587e-05,8.271298593909048e-05,8.271298593907886e-05,8.271298593910682e-05,8.271298593912941e-05
S24_2013_11666987,0.00010582010582087793,0.060271324932514386,0.5443142645633564,0.00010582010582086684,0.00010582010582081827,0.00010582010582084063,0.00010582010582090213,0.00010582010582083869,0.00010582010582083246,0.00010582010582085182,0.07588911456796056,0.0001058201058209387,0.00010582010582085907,0.00010582010582088026,0.0001058201058208449,0.00010582010582086841,0.14366559482215688,0.00010582010582084814,0.05730668691137345,0.00010582010582084777,0.00010582010582104306,0.00010582010582081245,0.11601333166293779,0.00010582010582089857,0.0001058201058208459,0.00010582010582085144,0.00010582010582084671,0.00010582010582089359,0.00010582010582086475,0.00010582010582088354
S24_2013_11590697,0.05507904802287954,0.00011862396204123742,0.00011862396204120067,0.00011862396204123631,0.00011862396204119484,0.10051077809310838,0.00011862396204116789,0.00011862396204118237,0.00011862396204135553,0.00011862396204123536,0.0001186239620412124,0.00011862396204114104,0.0001186239620412477,0.00011862396204124065,0.73916203045305,0.035622499025900645,0.06666004535403135,0.0001186239620412195,0.00011862396204119618,0.00011862396204118164,0.00011862396204127377,0.00011862396204113746,0.00011862396204123826,0.00011862396204124836,0.00011862396204120129,0.00011862396204117252,0.00011862396204116892,0.000118623962041179,0.00011862396204124522,0.00011862396204122551
S24_2013_11183838,7.092198581607722e-05,7.092198581608743e-05,0.3399859563052067,7.09219858160474e-05,7.092198581605572e-05,7.09219858160614e-05,7.092198581607879e-05,7.092198581604317e-05,7.092198581605752e-05,7.092198581606515e-05,0.1198297544230513,7.092198581604865e-05,7.09219858160499e-05,0.09947107161505736,7.092198581606686e-05,7.09219858160643e-05,7.092198581604821e-05,7.092198581608624e-05,7.092198581606286e-05,7.092198581603776e-05,7.09219858160207e-05,7.092198581599972e-05,0.02130720912374002,7.092198581606354e-05,7.092198581606186e-05,7.092198581604052e-05,0.09133708743913183,7.092198581605546e-05,7.09219858160659e-05,0.3263667934342275
S24_2013_11213182,9.861932938899501e-05,9.861932938895449e-05,9.861932938897475e-05,9.86193293889761e-05,9.861932938896555e-05,9.861932938901159e-05,0.6112693250261826,9.861932938903605e-05,9.861932938893037e-05,9.861932938899995e-05,9.861932938896909e-05,9.861932938894749e-05,9.861932938893068e-05,9.861932938898069e-05,0.01685556787854126,9.861932938899741e-05,9.861932938894277e-05,9.861932938898108e-05,9.86193293889373e-05,9.861932938895109e-05,9.861932938890692e-05,9.861932938890293e-05,9.861932938896024e-05,9.861932938896018e-05,9.861932938894205e-05,0.34369902729927027,9.86193293889304e-05,9.861932938892862e-05,0.025611977231892836,9.861932938901296e-05
S24_2013_11842651,0.0001253132832085308,0.00012531328320845695,0.0001253132832084832,0.0001253132832085205,0.00012531328320846856,0.00012531328320850802,0.00012531328320851472,0.00012531328320850957,0.00012531328320847376,0.0001253132832085609,0.00012531328320853355,0.00012531328320850477,0.00012531328320850032,0.527188263297947,0.00012531328320850653,0.00012531328320851233,0.00012531328320847091,0.0001253132832084822,0.00012531328320850723,0.00012531328320846704,0.0001253132832084408,0.00012531328320840874,0.00012531328320847517,0.00012531328320846194,0.00012531328320846416,0.00012531328320846728,0.00012531328320852176,0.00012531328320846303,0.46930296477221534,0.0001253132832084845
S24_2013_8789495,0.00014880952381075927,0.00014880952381070105,0.00014880952381073474,0.0001488095238108207,0.00014880952381066847,0.00014880952381070395,0.00014880952381070907,0.00014880952381067825,0.0001488095238106919,0.0001488095238108697,0.00014880952381076578,0.00014880952381066478,0.00014880952381090995,0.12861284848038163,0.36995715447861893,0.00014880952381075962,0.09287276891615043,0.23391756766427257,0.0001488095238107437,0.011628828471847902,0.00014880952381080676,0.029888934847385414,0.0001488095238106626,0.00014880952381090756,0.0001488095238106509,0.00014880952381062236,0.00014880952381072222,0.00014880952381070387,0.12969927809369594,0.00014880952381072412
