,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
S24_2013_11957122,0.00020920502360859803,0.00020920502270530095,0.00020920502584971198,0.0002092050232766619,0.00020920502436951873,0.0002092050236307211,0.00020920502373763118,0.00020920502478754505,0.0002092050244016854,0.7202406041495089,0.00020920502451474352,0.00020920502506481794,0.0002092050237250693,0.00020920502303509427,0.00020920502440035347,0.04674775364471688,0.21278460896887938,0.01687975285107582,0.00020920502463591523,0.0002092050240757214
S24_2013_11680305,0.00020080321671690546,0.0002008032151851793,0.030451202112464618,0.0002008032167938764,0.00020080321476738752,0.0002008032151753526,0.0002008032187612018,0.00020080321694063724,0.49923298341029626,0.00020080321712919396,0.00020080321579093278,0.00020080321620643082,0.0002008032158951898,0.00020080322083904846,0.09329297673977263,0.000200803215904219,0.37380998627207174,0.0002008032151518877,0.00020080321783642305,0.00020080321630095078
S24_2013_11460698,0.00021551724523388935,0.0002155172438143593,0.00021551724590049843,0.00021551724476524413,0.047713886741242835,0.00021551724661157944,0.04928861634264431,0.0002155172454966985,0.00021551724479789596,0.8993337037518421,0.00021551724507948755,0.00021551724368365472,0.00021551724522635688,0.00021551724447800712,0.00021551724606911173,0.0002155172446628998,0.00021551724477750396,0.00021551724314745657,0.0002155172452548938,0.00021551724527129443
S24_2013_11619166,0.00015625000337847792,0.00015625000164453802,0.19912494122296287,0.00015625000527537687,0.00015625000198844416,0.00015625000441898718,0.00015625000319738057,0.00015625000309800967,0.00015625000352235578,0.000156250004625661,0.00015625000355229347,0.00015625000215080108,0.00015625000294275195,0.0001562500031300296,0.00015625000223633197,0.03648536211725135,0.7617334466050941,0.00015625000243504742,0.00015625000260276013,0.00015625000449219934
S24_2013_11828498,0.5083563447191408,0.00012787724099431625,0.00012787723998478333,0.0001278772407838825,0.00012787724007470643,0.00012787724070500287,0.0001278772398072563,0.00012787724036411992,0.00012787724025393668,0.48934186495255544,0.00012787724041839223,0.00012787724257672488,0.00012787723998759486,0.00012787723922133389,0.00012787724070923283,0.00012787724118619077,0.00012787724070886499,0.00012787723931039977,0.0001278772409653186,0.00012787724025157865
S24_2013_11646732,0.00018382353230571798,0.00018382353297908107,0.3101040642263685,0.000183823533678675,0.0001838235324193873,0.00018382353466052923,0.00018382353204747856,0.4768623855439213,0.00018382353416751014,0.00018382353344654096,0.00018382353228128966,0.0001838235346839635,0.031073083930114147,0.00018382353213181545,0.17901928976955186,0.00018382353243252228,0.00018382353397698373,0.00018382353164621604,0.00018382353397375609,0.00018382353321256737
S24_2013_11912726,0.00012406948074070864,0.00012406948040764588,0.00012406948059510175,0.0001240694812058348,0.00012406948103826468,0.00012406948160668632,0.00012406948054539775,0.7620556197870192,0.0001240694809881951,0.00012406948124349512,0.2357111295554501,0.0001240694814324744,0.0001240694810285419,0.00012406948038583775,0.00012406948040746056,0.00012406948079895513,0.00012406948053254998,0.000124069480819005,0.00012406948295073348,0.00012406948080414347
S24_2013_11666987,0.03272383611936163,0.00015873016200640175,0.00015873016285861802,0.00015873016142203193,0.00015873016072095913,0.0001587301616641018,0.0001587301654306821,0.00015873016186389552,0.12994314150294597,0.0001587301622498619,0.00015873016150462848,0.02670927855811202,0.5586769153835862,0.0001587301621329633,0.06948100912434126,0.0001587301628714211,0.1802435970425431,0.00015873016063924336,0.00015873016218679014,0.00015873016155812738
S24_2013_11590697,0.00017793594624034982,0.00017793595024492484,0.00017793594537153423,0.0001779359473071143,0.00017793594891496418,0.7067336850866285,0.00017793594811315585,0.00017793594690474168,0.21217395768901534,0.00017793594898410625,0.07806744612360056,0.00017793594450711767,0.00017793594663586317,0.00017793594877672585,0.00017793594595579825,0.00017793594589027645,0.0001779359463821677,0.00017793594606481717,0.00017793594885067918,0.00017793594561122924
S24_2013_11183838,0.1276030880040993,0.00010638298068850656,0.058015255907338956,0.06479965113277318,0.00010638298081995458,0.00010638298132592417,0.00010638298308826383,0.00010638298082302494,0.10314603111714271,0.00010638298167408432,0.00010638298068536198,0.00010638298008915193,0.5827145774327714,0.0001063829809868517,0.00010638298147255579,0.014166784321452285,0.04817163332539601,0.0001063829848769952,0.00010638298117218842,0.0001063829813232766
