,0,1,2,3,4,5,6,7,8,9,10,11,12
S24_2013_11594670,0.1393865852974988,0.09230332728540876,0.00033445260869511867,0.24169859296815768,0.48790506528553157,0.00033445233105781555,0.00033445503554398534,0.0003344525161434988,0.0360308047906855,0.0003344528457147783,0.0003344542643445421,0.0003344531390703468,0.00033445163214777405
S24_2013_11742593,0.00014192705106767746,0.00014192636391759816,0.28326206237544754,0.0001419265731820571,0.0001419265942983866,0.00014192599576157237,0.0001419267153274333,0.00014192571116444154,0.015861720037215112,0.00014192631602835543,0.4127194543589667,0.2868794258925292,0.0001419260150939835
S24_2013_11161117,0.00012447312244567952,0.28241066331143244,0.00012447292788337095,0.00012447325239560775,0.00012447327438220982,0.00012447296947455276,0.0001244730939413245,0.47981138339403767,0.0001244728334941211,0.20369481046740365,0.00012447336390059805,0.00012447337163839259,0.03296288461757031
S24_2013_11180865,0.00016297550349990468,0.08953709745674696,0.00016297482467806737,0.00016297515979661208,0.908670172215255,0.00016297556022370387,0.00016297902770772156,0.0001629752265907713,0.00016297369561736534,0.00016297507454806717,0.0001629752316819244,0.00016297531970703246,0.00016297570394683416
S24_2013_11832809,0.00030166390725363786,0.6254771070641569,0.0003016620133006867,0.00030166371343587583,0.00030166225954661035,0.00030166344009502664,0.11071905963107265,0.00030166524143137024,0.00030166076847367633,0.18896851635486528,0.07212034737437002,0.0003016644879720451,0.00030166374402612053
S24_2013_11860237,0.006251133571341583,0.2491626578978655,0.00017889240817154002,0.08744143496576658,0.007936400553152938,0.000178893841210721,0.00017889404487871305,0.0455147186589872,0.00017889217571368231,0.2431427023429744,0.09383546213805309,0.0001788930014403639,0.26582102440044364
S24_2013_11802041,0.0002981570670708359,0.6143452122589569,0.00029815497280615385,0.0002981558190432854,0.08176565216126214,0.00029815664507021995,0.05684302638835967,0.01643298848829084,0.00029815570391284553,0.2282278691838241,0.00029815792911723,0.00029815660135784573,0.0002981567809278275
S24_2013_1290513,0.00030893386988675855,0.00030893276414189417,0.0003089323359131042,0.00030893189312225186,0.00030893096565547427,0.0003089320764566555,0.0003089315687705446,0.33031476757045225,0.0003089307583677893,0.00030893430267850907,0.10433442429383553,0.5622614853240123,0.00030893227670699764
S24_2013_11478992,0.0001351915723974858,0.2799218434317639,0.00013519139021931145,0.00013519159223724855,0.0001351918056789432,0.005264627743781123,0.0001351916788634101,0.44876221968768515,0.00013519110816311217,0.0001351918512596311,0.26483458435905144,0.00013519193987520092,0.00013519183902391057
S24_2013_11957122,0.0003273363355579767,0.7085914059882806,0.0003273363330468044,0.00032733599704077817,0.0003273360113610748,0.0003273364360995725,0.0003273356366823874,0.0003273367172540862,0.017439915927790352,0.0003273377013570056,0.23430220172717195,0.036720447776836605,0.0003273374115206796
S24_2013_11680305,0.00030893225813763257,0.16512781586087596,0.00030893106682647233,0.00030893316660359545,0.00030893095886048977,0.0003089339465702004,0.00030893257262963304,0.00030893401609287765,0.0003089333070705085,0.8314739246340656,0.00030893283835865945,0.00030893140038713125,0.0003089339735213137
S24_2013_11460698,0.0003330042751357604,0.7840640725446016,0.0003330046862025085,0.00033300507478940236,0.10035958672185145,0.000333003845392073,0.0003330053541264887,0.11224629615217452,0.00033300293344247164,0.0003330041085001687,0.00033300555454957796,0.0003330038661352343,0.000333004883098622
S24_2013_11619166,0.0002403869067227804,0.5364769467890732,0.00024038672534335372,0.0002403868163796969,0.00024038704666839197,0.0002403871386308965,0.0002403873712865142,0.00024038875642049508,0.00024038674982392846,0.3504011054069553,0.11071807625910599,0.0002403867158972501,0.00024038731769230435
S24_2013_11828498,0.0001987703437400775,0.46938981404278524,0.0001987700912621765,0.0001987708202947138,0.00019877164922846522,0.00019877173359987154,0.5051732431457799,0.023449236904227882,0.00019876857307617597,0.0001987704946319421,0.00019877128475847964,0.00019877071441681935,0.00019877020219825146
S24_2013_11646732,0.00028280952755118635,0.04952681611111393,0.0002828090900263703,0.18606718357288893,0.0002828104993800154,0.11020166121487478,0.012399223627363135,0.00028281048394649045,0.00028280852268018923,0.43062676068010086,0.0002828103762504346,0.209198687051059,0.00028280924276455116
S24_2013_11912726,0.36015700960956515,0.00019087940291262256,0.00019087830050721689,0.00019087897787055413,0.00019088002403188007,0.00019087805555274322,0.00019087924554231337,0.6377433225171268,0.00019087810877684594,0.00019087819080922322,0.00019087864789149827,0.00019087940773967403,0.0001908795116733638
S24_2013_11666987,0.030989637645893284,0.0002442040965060028,0.0002442025469187784,0.7243421818689477,0.00024420363780837634,0.03077361372677851,0.00024420385700846275,0.0002442047548177985,0.00024420167595232356,0.0002442044579954785,0.21169673572276523,0.0002442033603728168,0.00024420264823543387
S24_2013_11590697,0.00027375282772915913,0.000273751143811279,0.0002737500911374286,0.0002737515331317783,0.9816558952974447,0.00027375108421170285,0.00027375048957023094,0.015332842206335637,0.00027375035200378545,0.0002737501999020709,0.0002737517051284317,0.00027375200358250814,0.00027375106601124684
S24_2013_11183838,0.19458638196091166,0.024486858440299943,0.00016366765795719238,0.727153994393433,0.000163668679113341,0.02016719244569473,0.03229622641756803,0.00016366845462509428,0.00016366761536560905,0.00016366883037109134,0.00016366898047573083,0.0001636683217879874,0.00016366780239680117
