,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
S24_2013_11594670,0.00017391304351548298,0.13170110534195545,0.0001739130435145018,0.00017391304351795157,0.00017391304350916409,0.3107582912677576,0.000173913043511573,0.00017391304350160335,0.00017391304350743462,0.0001739130435236532,0.00017391304350172448,0.0001739130435033348,0.00017391304351700292,0.10985932195261076,0.00017391304350837194,0.00017391304350908003,0.00017391304350967268,0.07493305228872665,0.0001739130435215841,0.00017391304353662473,0.00017391304349354713,0.0001739130435130617,0.00017391304350649838,0.00017391304353917862,0.3692699682786883
S24_2013_11742593,0.27644487512642557,7.380073802309436e-05,7.380073801938704e-05,7.380073801591838e-05,7.380073801541022e-05,7.380073801993135e-05,7.380073801821908e-05,7.380073801860358e-05,7.380073801733418e-05,7.380073802057756e-05,7.380073801708202e-05,0.0371370593675878,7.380073801658105e-05,7.380073802001114e-05,7.380073802062572e-05,7.380073801789306e-05,7.380073802209696e-05,7.380073801784664e-05,0.00683559854944934,7.380073802631568e-05,0.3961946707075552,0.28191178148859986,7.380073801632471e-05,7.380073801622004e-05,7.380073802266e-05
S24_2013_11161117,6.472491910554437e-05,6.472491910464698e-05,6.47249191037125e-05,6.472491910303455e-05,6.472491911032543e-05,0.052045178337979725,0.06561461571922046,6.47249191072275e-05,0.485186762373323,6.472491910637873e-05,6.472491910224074e-05,6.472491910683654e-05,6.472491910431761e-05,6.472491910334652e-05,6.472491910519866e-05,6.472491910856454e-05,6.472491910414277e-05,6.472491910596851e-05,6.472491910337504e-05,6.472491911114797e-05,6.472491909801385e-05,6.472491910664805e-05,0.09575793545620245,0.30010100973116377,6.472491910992342e-05
S24_2013_11180865,0.18357023908600728,0.01977399085620985,8.456659620743188e-05,8.456659621115539e-05,8.456659621221605e-05,0.11475089902764787,8.456659620691602e-05,8.456659620741043e-05,8.456659621330292e-05,8.456659620954913e-05,8.456659620978406e-05,8.456659621013011e-05,8.456659621083374e-05,8.456659621002436e-05,8.456659620715566e-05,8.45665962080685e-05,8.456659620822899e-05,0.4661007109600412,8.45665962010453e-05,8.456659621219587e-05,8.456659619871926e-05,8.456659620787993e-05,8.456659620648631e-05,8.4566596207024e-05,0.21411282814592825
S24_2013_11832809,0.00014925373137048727,0.00014925373136719314,0.12714465197700897,0.00014925373135990953,0.00014925373137039625,0.3118879745809133,0.12847106590933785,0.00014925373136664332,0.00014925373137106724,0.00014925373137462643,0.00014925373136615995,0.03253878992548697,0.3969724429799251,0.00014925373136056802,0.0001492537313750762,0.00014925373136430513,0.00014925373136752244,0.0001492537313650735,0.0001492537313560541,0.0001492537313577632,0.0001492537313563668,0.00014925373137956557,0.0001492537313665019,0.0001492537313707744,0.00014925373136177853
S24_2013_11860237,9.280742461293426e-05,9.280742461229912e-05,0.32599359147585594,9.280742460822953e-05,9.280742461323956e-05,0.1378311119378489,0.05969623745418823,0.06691662051473521,9.280742461242193e-05,0.09308380022342325,9.280742461209686e-05,9.280742461271269e-05,9.280742461588985e-05,0.010989943595557022,9.280742461135566e-05,9.280742461298532e-05,9.280742461913508e-05,0.037287302332512075,9.28074246093699e-05,9.280742461395467e-05,9.280742460014314e-05,0.1207139450337473,9.280742461025098e-05,0.1460025286383446,9.280742461051109e-05
S24_2013_11802041,0.36014790816187925,0.00015503875972139953,0.0001550387597193106,0.005630033555825364,0.0001550387597157963,0.5492363866597446,0.00015503875971558558,0.0001550387597178209,0.00015503875972055115,0.08172985766851852,0.00015503875971175995,0.00015503875971595296,0.00015503875971505343,0.0001550387597136796,0.0001550387597183001,0.00015503875971235772,0.00015503875972708268,0.0001550387597255722,0.00015503875970526699,0.0001550387597105417,0.00015503875969600164,0.0001550387597153781,0.00015503875972704056,0.0001550387597108944,0.00015503875971697873
S24_2013_1290513,0.050033269045282956,0.00016064257031122052,0.00016064257030804085,0.00016064257031427469,0.0001606425703093135,0.00016064257031633993,0.06733155194973117,0.00016064257031189744,0.00016064257031613802,0.30568606641947843,0.00016064257031747335,0.02114732196730715,0.05997244085024557,0.00016064257032113806,0.012071929139183663,0.0001606425703187764,0.0001606425703033536,0.0001606425703165716,0.00016064257030566767,0.00016064257030535867,0.00016064257029846767,0.4808658543631639,0.00016064257031549452,0.00016064257030798517,0.00016064257030970342
S24_2013_11478992,7.029876978451282e-05,7.02987697836058e-05,7.029876978181916e-05,7.029876977953975e-05,7.02987697810755e-05,0.38081361772153627,7.029876978249438e-05,0.14455570549783173,0.09777529538839302,7.029876978405674e-05,7.029876978031452e-05,7.029876978373652e-05,7.029876978313582e-05,7.029876978138441e-05,0.03489658597221965,0.004236067442911054,7.029876978714131e-05,7.029876978171158e-05,7.02987697804648e-05,7.029876978067294e-05,7.029876977796988e-05,0.33638705135124713,7.02987697829569e-05,7.029876978170891e-05,7.029876978274835e-05
S24_2013_11957122,0.028289516955331197,0.00016736401675825253,0.00016736401675796639,0.00016736401675314453,0.0001673640167631087,0.623620089910871,0.0001673640167619408,0.00016736401675954956,0.00016736401676667462,0.15554773187703308,0.0001673640167534062,0.00016736401675856503,0.10107377670219081,0.00016736401675966105,0.00016736401676016667,0.00016736401676456882,0.0001673640167662715,0.0001673640167558112,0.011182170571916313,0.00016736401675912656,0.0001673640167452199,0.07710679766419942,0.00016736401677345397,0.0001673640167841293,0.0001673640167571891
