,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
S24_2013_1290513,0.08318785747233753,0.0002677381442244707,0.00026773790330287894,0.00026773833079661536,0.0002677380563653712,0.12780200589021776,0.0002677380349175202,0.0002677382554333367,0.4263994487390788,0.23777003819642786,0.000267738007689943,0.0002677384539697266,0.00026773834366993377,0.03145752215807488,0.0909734840134935
S24_2013_11478992,0.25346436601742595,0.00011716483820305421,0.00011716470839024542,0.0001171648641511007,0.00011716487915590612,0.0001171648746710278,0.0038586081363602216,0.023094606789647237,0.37656366996008617,0.014020047627735874,0.004223801656188676,0.00011716477080967614,0.00011716491940971364,0.00011716483216267048,0.32383758112560235
S24_2013_11957122,0.00027894079429137435,0.0002789405226139217,0.0002789402098093941,0.0002789406185118564,0.023352353246176634,0.02191604795039417,0.00027894051562663984,0.0002789406404744271,0.0002789406429758956,0.00027894088623588484,0.00027894042295582567,0.0002789404144848368,0.00027894062654352527,0.0002789405442581909,0.9513843119646475
S24_2013_11680305,0.0002677381959138092,0.00026773802407814855,0.0002677380285419466,0.00026773807084990895,0.00026773790583970694,0.0002677383033048889,0.00026773839481171333,0.0002677381644695964,0.46656879016423003,0.00026773861581844605,0.00026773794269843075,0.0002677379166875326,0.5299506137950406,0.0002677380937853774,0.0002677383839299492
S24_2013_11460698,0.00028735691293856443,0.0002873570284711055,0.00028735659106783547,0.0002873569544731539,0.0002873565760112552,0.0002873568532485724,0.00028735697555763603,0.0002873570754785919,0.0002873569536391449,0.0002873569522452925,0.0671569847168098,0.00028735658157977116,0.000287357037925266,0.0002873568087601661,0.9291073759817938
S24_2013_11619166,0.0002083338365625214,0.00020833363357051048,0.00020833346827007444,0.00020833365969734742,0.00020833349487728357,0.00020833366760548944,0.00020833361967054532,0.0002083335998273602,0.34409074834859393,0.19924766835895932,0.0002083336264447645,0.00020833351062386478,0.00020833371597181637,0.0002083336286305639,0.45416157983069455
S24_2013_11828498,0.00017050333197877448,0.03419796353313596,0.00017050378292910446,0.06325173902126806,0.0001705038557891066,0.00017050332529136526,0.0976802358296099,0.24352656227534128,0.00017050356543968427,0.00017050340672534144,0.00017050334214344537,0.0001705034069720348,0.00017050334866992376,0.00017050335685898232,0.559638464617847
S24_2013_11646732,0.00024509865323960945,0.0002450986772671456,0.005206192780901956,0.0002450984735889312,0.000245098574882913,0.00024509867333971663,0.00024509870711210315,0.01662013069923469,0.10346738318684838,0.22087364431931922,0.00024509859205523157,0.00024509850195346573,0.4503999335529358,0.20122682787133828,0.0002450987359826285
S24_2013_11912726,0.00016542626376149172,0.00016542624201664716,0.0001654260745709634,0.00016542626131340438,0.00016542615089246382,0.00016542622557082736,0.00016542616769751176,0.9792575262677983,0.00016542624884612232,0.00016542631365394452,0.00016542627747507282,0.018591932511041256,0.00016542622763245185,0.00016542644892068807,0.0001654263188086561
S24_2013_11666987,0.00021164090636956106,0.23007137103596484,0.00021164050039929855,0.19379141795817076,0.00021164048885995084,0.00021164076804473878,0.0002116406626445562,0.00021164063224867754,0.026384263909721324,0.00021164086778029163,0.0002116406503652973,0.00021164056010494235,0.18604910770884658,0.3615874325664697,0.0002116407840095744
S24_2013_11590697,0.00023724857563187603,0.00023724832449611486,0.00023724813206252787,0.00023724875205443488,0.00023724822913164973,0.0002372489337709895,0.03587251288021868,0.18741064438819835,0.0064091007544924625,0.00023724834485747866,0.75022464476994,0.00023724868638010858,0.0002372484424206285,0.01771061230772479,0.00023724847861999484
S24_2013_11183838,0.00014184453143881935,0.3413601742570923,0.00014184416126796282,0.16536241271079558,0.00014184414828117422,0.00014184421757996215,0.06256898724647975,0.0001418443691229931,0.0303538846199765,0.0001418443163915398,0.0001418443083707569,0.0001418442107073621,0.2399014793246445,0.128037080435078,0.031281227142772906
S24_2013_11213182,0.0001972390612405493,0.052403023204301284,0.0001972388455281224,0.02476718934708623,0.00019723896557455632,0.0001972391671198299,0.00019723906456807226,0.00019723945549559555,0.0001972392130419182,0.8537362004890096,0.05525104248081346,0.00019723895546938137,0.00019723913847668768,0.0001972391239374204,0.011870153488337368
S24_2013_11842651,0.0002506274191389929,0.0002506273785925407,0.0002506267952845499,0.000250627203063958,0.00025062680807152457,0.00025062721302169985,0.0002506270611364223,0.00025062733437383885,0.000250627039420938,0.00025062716649889227,0.0002506269987108136,0.0002506268214664321,0.0002506272179330082,0.00025062706473189916,0.9964912204785544
S24_2013_8789495,0.0002976195555567619,0.0002976197678940749,0.0337996177672789,0.0002976197923242168,0.00029761931346341776,0.0002976197222195832,0.06535824423190015,0.36109658538030237,0.022167375162796626,0.0002976196276726993,0.31700301761123056,0.00029762034129187824,0.00029761976983607883,0.00029761969178918106,0.1978965822644435
