,0,1,2,3,4,5,6
S24_2013_11460698,0.000618090671956651,0.9962915912281751,0.0006178102357016864,0.0006176645406731624,0.0006180380453328165,0.0006189868799746169,0.0006178183981859584
S24_2013_11619166,0.00044738815623202743,0.5458398957568693,0.00044789909692421554,0.00044808483636559,0.000447495905612415,0.00044843761536847535,0.4519207986326279
S24_2013_11828498,0.13852966693152882,0.7245941473713491,0.0003690186180571951,0.00036705577573591173,0.13540667026047393,0.00036684902786446495,0.00036659201499063824
S24_2013_11646732,0.0005273274342994467,0.0005277644183304374,0.000526784242248546,0.0005273351161551642,0.1325441656586238,0.0005279246886778861,0.8648186984416646
S24_2013_11912726,0.0290911090515419,0.00035612154683818025,0.9691301379350795,0.00035546728685963293,0.0003559511451175194,0.00035570368055736824,0.00035550935400587355
S24_2013_11666987,0.00045496429147896995,0.000455091072222871,0.05241580382321813,0.00045486858185762505,0.7607650824927294,0.059142323099550774,0.12631186663894223
S24_2013_11590697,0.8309676631587403,0.0005101375120053706,0.16648246937184685,0.0005097819978333992,0.0005099110487880474,0.0005102793490863879,0.0005097575616998322
S24_2013_11183838,0.08940885942871823,0.0003052655719249934,0.0003049753873477043,0.00030490632064904385,0.7739324499929766,0.064821703090805,0.07092184020757844
S24_2013_11213182,0.0004257175817640152,0.020626567336733112,0.00042410309173665744,0.02874505273408425,0.00042405911750225637,0.0004240043782875235,0.9489304957598922
S24_2013_11842651,0.0005388174608459158,0.9967644536240162,0.0005388909888064999,0.0005388906972393225,0.0005390612039889568,0.0005406979936894253,0.0005391880314137288
S24_2013_8789495,0.49297480300013585,0.18404246615924166,0.08768766617640271,0.0006395684212999066,0.13654380391044596,0.09747174454262213,0.0006399477898515741
S24_2013_11488901,0.0002935224244696019,0.0002938133256566888,0.20930408379456922,0.7241757785568318,0.00029371113666954286,0.00029391343546409694,0.06534517732633893
S24_2013_11528434,0.0003184250932000961,0.04739475426863887,0.09980725365079392,0.00031882467917241936,0.7543023774292881,0.00031888293362213694,0.0975394819452844
S24_2013_11778856,0.00046671405962934716,0.2756121863047682,0.3230083487050418,0.000467398435887316,0.186683516822216,0.04981730773581991,0.16394452793663739
S24_2013_11887877,0.0005575227626540532,0.06757569214166277,0.0005571590999772058,0.03231647608683489,0.8978768192843751,0.0005579254008763957,0.0005584052236194427
S24_2013_11902465,0.14373985150468474,0.37603941570464955,0.0005304086714898616,0.47809691405572674,0.0005317762613233697,0.0005306477026683364,0.0005309860994572633
S24_2013_11882591,0.0006576573231598965,0.9960533269983718,0.0006570610569169656,0.0006574505108160986,0.0006578769656405934,0.0006583991494767113,0.0006582279956179547
S24_2013_11929305,0.00034120129237152544,0.24924093451242535,0.28489929902216865,0.08804246539950301,0.22934951317055932,0.14778473601667094,0.00034185058630119785
S24_2013_11226423,0.08056871371766117,0.8669368979892643,0.0514139454083762,0.00027037684887346486,0.0002704106645315928,0.00026990433865470585,0.0002697510326383484
S24_2013_11563099,0.05140734714709725,0.6029191237492765,0.00039029173391544076,0.00038983139644313677,0.34411370944529784,0.00039000999483156047,0.0003896865331383114
S24_2013_11546506,0.0005689451500146632,0.1264736058580154,0.0005681797098965191,0.0005697691332238666,0.1954839976222044,0.41750768177242614,0.25882782075421906
S24_2013_11913335,0.6965219213398627,0.0003015510209299487,0.0003009436895657777,0.0003014785924987754,0.25441276776160215,0.04786009046870201,0.0003012471268386187
S24_2013_11439371,0.0005033551840466854,0.0005036022775831506,0.05552417913885942,0.24012968093550582,0.18375037103805494,0.5190856121768759,0.0005031992490740477
S24_2013_11510177,0.0005143997973999618,0.825197112194278,0.000515057794745579,0.06691599380062786,0.0005138742349972959,0.10582903642966077,0.0005145257482904454
S24_2013_11825951,0.021685079032456166,0.00033513834311082964,0.00033492909808091994,0.0003347438118868579,0.6987354097262058,0.012896561860647675,0.26567813812761176
S24_2013_11202845,0.00029802246626084916,0.00029796630784784367,0.03722085877315697,0.0002978774167588228,0.6552613939950485,0.00029825699361854454,0.3063256240473085
S24_2013_11780806,0.0004952805817408981,0.2621739023070076,0.0004943615754033544,0.0004941818924561569,0.0004944198932568696,0.7353530201727757,0.0004948335773595544
S24_2013_11787114,0.0005896761186293015,0.0005903678112574352,0.0005898453311319387,0.9964586520056049,0.0005902399809589573,0.0005903771351727366,0.00059084161724465
S24_2013_11154896,0.05040560015745774,0.04839012273249707,0.00020703945023129106,0.00020693780364694608,0.00020691663142493954,0.00020711364152822636,0.9003762695832138
S24_2013_11415029,0.00047476945741923177,0.04683451497486167,0.00047500335363885967,0.6170577316936786,0.17857297583960027,0.0004754822044350311,0.1561095224763664
S24_2013_11395792,0.9401083355335652,0.024770681019928617,0.00037934347815099897,0.0003795596450154246,0.03360318297027284,0.00037930549958816866,0.00037959185347881
