,0,1,2,3,4
S24_2013_11646732,0.03608320814313343,0.9616593576320108,0.0007539174848812363,0.0007483049093704728,0.0007552118306042808
S24_2013_11912726,0.2313967732296234,0.17961957648407456,0.22247100710062268,0.0005041842816854451,0.36600845890399386
S24_2013_11666987,0.633450666584279,0.3022978849134113,0.0006497229336003914,0.06295080736300444,0.0006509182057046872
S24_2013_11590697,0.0007282810263210582,0.0007241759059639594,0.9695836631070901,0.0007302296774399393,0.02823365028318496
S24_2013_11183838,0.6992400708849387,0.16186099544604632,0.11850965168738746,0.01995105050110177,0.0004382314805257494
S24_2013_11213182,0.000607086123400427,0.9867091686570743,0.011469240217511016,0.0006053317539998976,0.0006091732480143269
S24_2013_11842651,0.0007994991178919453,0.0008029076122400814,0.00079963285995868,0.0008009560871256505,0.9967970043227837
S24_2013_8789495,0.0009145330636438107,0.0009132705954235656,0.46355813399227186,0.050663721405525795,0.483950340943135
S24_2013_11488901,0.00041693483994936656,0.9362964375586448,0.0004171426926887014,0.0004232786498207667,0.06244620625889637
S24_2013_11528434,0.29047754626964756,0.6131200256890466,0.00045781005743293336,0.07704658476771814,0.018898033216154884
S24_2013_11778856,0.0006661754657158018,0.26384719085156116,0.000661190525999775,0.0006626018505360737,0.7341628413061873
S24_2013_11887877,0.6304248053508167,0.25501775972203783,0.0007947605264615752,0.000799037681520106,0.1129636367191639
S24_2013_11902465,0.14989495872042932,0.3543467277103687,0.49424763418793144,0.0007547967883841339,0.0007558825928863466
S24_2013_11882591,0.0009610480226726027,0.0009652380462362652,0.0009647536099878487,0.0009622763748393259,0.9961466839462639
S24_2013_11929305,0.00048569084170273864,0.05569739470498559,0.000484509890057982,0.0004886859903868162,0.9428437185728669
S24_2013_11226423,0.00038802267371242354,0.00038719668269202484,0.9663435757704264,0.022315124918330532,0.01056607995483847
S24_2013_11563099,0.0005569845729833448,0.03643092646056524,0.0005581671672108898,0.3873372595994789,0.5751166621997615
S24_2013_11546506,0.0008068477795172146,0.5395484583493882,0.0008092980056227563,0.0008097578926143627,0.45802563797285745
S24_2013_11913335,0.4593662492126618,0.00043203883155211594,0.5378162296425008,0.00042969044865212146,0.0019557918646333707
S24_2013_11439371,0.08465219807517513,0.6398633398402368,0.0007291988045111026,0.0007213068457320644,0.2740339564343448
S24_2013_11510177,0.0007342553707804656,0.0007446028276108691,0.07512750400069709,0.9226541105430954,0.0007395272578161829
S24_2013_11825951,0.9980704198436092,0.0004813356521490575,0.0004779529542627809,0.00048651574763510495,0.000483775802343817
S24_2013_11202845,0.5230227273757305,0.4756979787739564,0.0004259345685465958,0.0004258626078851095,0.00042749667388139163
